region,biostep,year,Value
WSC,5,2040,2.314096511
WSC,5,2045,2.377223672
WSC,5,2050,2.438612903
WSC,6,2020,0.377884615
WSC,6,2025,0.377884615
WSC,6,2030,0.377884615
WSC,6,2035,0.387907965
WSC,6,2040,0.398982157
WSC,6,2045,0.40986615
WSC,6,2050,0.4204505
WSC,7,2020,0.151153846
WSC,7,2025,0.293910256
WSC,7,2030,0.436666667
WSC,7,2035,0.448249204
WSC,7,2040,0.461046048
WSC,7,2045,0.473623107
WSC,7,2050,0.485853912
WSC,8,2020,20.32179487
WSC,8,2025,20.32179487
WSC,8,2030,20.32179487
