region,destination,load_segment,time
NEG,ENC,wntr_mrnevn,2025,0.00
NEG,ENC,wntr_mrnevn,2030,0.00
NEG,ENC,wntr_mrnevn,2035,0.00
NEG,ENC,wntr_mrnevn,2040,0.00
NEG,ENC,wntr_mrnevn,2045,0.00
NEG,ENC,wntr_mrnevn,2050,0.00
NEG,ENC,wntr_mrnevn,2075,0.00
NEG,ENC,wntr_night,2010,0.00
NEG,ENC,wntr_night,2015,0.00
NEG,ENC,wntr_night,2020,0.00
NEG,ENC,wntr_night,2025,0.00
NEG,ENC,wntr_night,2030,0.00
NEG,ENC,wntr_night,2035,0.00
NEG,ENC,wntr_night,2040,0.00
NEG,ENC,wntr_night,2045,0.00
NEG,ENC,wntr_night,2050,0.00
NEG,ENC,wntr_night,2075,0.00
NEG,ENC,peak,2010,0.00
NEG,ENC,peak,2015,0.00
NEG,ENC,peak,2020,0.00
NEG,ENC,peak,2025,0.00
NEG,ENC,peak,2030,0.00
NEG,ENC,peak,2035,0.00
NEG,ENC,peak,2040,0.00
NEG,ENC,peak,2045,0.00
NEG,ENC,peak,2050,0.00
NEG,ENC,peak,2075,0.00
NEG,WNC,sum_day,2010,0.00
NEG,WNC,sum_day,2015,0.00
NEG,WNC,sum_day,2020,0.00
NEG,WNC,sum_day,2025,0.00
NEG,WNC,sum_day,2030,0.00
NEG,WNC,sum_day,2035,0.00
NEG,WNC,sum_day,2040,0.00
NEG,WNC,sum_day,2045,0.00
NEG,WNC,sum_day,2050,0.00
NEG,WNC,sum_day,2075,0.00
NEG,WNC,sum_mrnevn,2010,0.00
NEG,WNC,sum_mrnevn,2015,0.00
NEG,WNC,sum_mrnevn,2020,0.00
NEG,WNC,sum_mrnevn,2025,0.00
NEG,WNC,sum_mrnevn,2030,0.00
NEG,WNC,sum_mrnevn,2035,0.00
NEG,WNC,sum_mrnevn,2040,0.00
NEG,WNC,sum_mrnevn,2045,0.00
NEG,WNC,sum_mrnevn,2050,0.00
NEG,WNC,sum_mrnevn,2075,0.00
NEG,WNC,sum_night,2010,0.00
NEG,WNC,sum_night,2015,0.00
NEG,WNC,sum_night,2020,0.00
NEG,WNC,sum_night,2025,0.00
NEG,WNC,sum_night,2030,0.00
NEG,WNC,sum_night,2035,0.00
NEG,WNC,sum_night,2040,0.00
NEG,WNC,sum_night,2045,0.00
NEG,WNC,sum_night,2050,0.00
NEG,WNC,sum_night,2075,0.00
NEG,WNC,sprfl_day,2010,0.00
NEG,WNC,sprfl_day,2015,0.00
