region,unit,value
PAC,geo_N_10,9.64
PAC,wnd_Nonsh_3,0.00
PAC,wnd_Nonsh_4,0.00
PAC,wnd_Nonsh_5,0.00
PAC,wnd_Nonsh_6,0.00
PAC,wnd_Nonsh_7,0.00
PAC,wnd_Nshal_3,0.00
PAC,wnd_Nshal_4,0.00
PAC,wnd_Nshal_5,0.00
PAC,wnd_Nshal_6,0.00
PAC,wnd_Nshal_7,0.00
PAC,wnd_Ndeep_3,0.00
PAC,wnd_Ndeep_4,0.00
PAC,wnd_Ndeep_5,0.00
PAC,wnd_Ndeep_6,0.00
PAC,wnd_Ndeep_7,0.00
