"region","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"ENC","slr_X","existing","slr","yes",2020,0.70066741,0,0,0.5275,20.6915296000379,10.91478186402,10.91478186402,33.8235616591415
"ENC","stog_X2","existing","stog","no",2020,-0.696488,0,0,1.9788,0,0,0,34.24542896
"ENC","wnd_X","existing","wnd","yes",2020,30.40978901,0,0,11.128,47.6538110146632,530.291608971172,530.291608971172,33.0621976298053
"ESC","bio_X","existing","bio","yes",2020,5.8058889320397,5.60339319750658,32.53267854727,1.3032,262.177162950882,341.66927875759,374.20195730486,27.5056201160134
"ESC","col_X1","existing","col","no",2020,48.5289152736204,10.8301164813911,525.573805128867,12.0678,80.203633474376,967.881408042075,1493.45521317094,27.5283169523811
"ESC","col_X2","existing","col","no",2020,64.388611758086,11.4836966509853,739.419285207923,19.2178,97.0180656334206,1864.47378172995,2603.89306693787,27.5666774413335
"ESC","col_X3","existing","col","no",2020,1.627499889975,11.9824036748998,19.5013606625355,1.3524,67.5064828545031,91.29576741243,110.797128074965,27.22135707
"ESC","hyd_X","existing","hyd","yes",2020,25.766582,0,0,6.92,91.9650197135983,636.3979364181,636.3979364181,27.22135707
"ESC","msw_X","existing","msw","no",2020,0.009908719,0.055147999998789,0.0005464460354,0.1357,0.992664,0.1347045048,0.1352509508354,27.22135707
"ESC","ngcc_X1","existing","ngcc","no",2020,116.9935940426,2.26510443860482,265.002709154224,23.8484,12.8849084714505,307.284451190539,572.287160344763,27.22135707
"ESC","ngcc_X2","existing","ngcc","no",2020,0.000155,2.21329416587097,0.00034306059571,0.0492,20.6877785203252,1.0178387032,1.01818176379571,27.22135707
"ESC","ngcc_X3","existing","ngcc","no",2020,0.000437,2.21329416613272,0.0009672095506,0.0165,24.7522524,0.4084121646,0.4093793741506,27.22135707
"ESC","ngtb_X1","existing","ngtb","no",2020,2.584716795,4.78628126057315,12.3711815597972,2.2969,11.0474590680482,25.3749087334,37.7460902931972,27.22135707
"ESC","ngtb_X2","existing","ngtb","no",2020,4.812797799,4.79390308189384,23.072086201158,8.0796,10.9531308017055,88.49691562546,111.569001826618,27.7795818949907
"ESC","ngtb_X3","existing","ngtb","no",2020,1.234854005,4.78651672129115,5.91064934328584,5.274,14.3833511963652,75.85779420963,81.7684435529158,27.22135707
"ESC","nuc_X","existing","nuc","yes",2020,90.409781,2.55696031439342,231.17422205,11.6912,131.239238504174,1534.3441852,1765.51840725,27.22135707
"ESC","oth_X","existing","oth","no",2020,0.00981848400028,3.3104740753759,0.03250383674242,0.3085,1.72164849391896,0.531128560374,0.56363239711642,32.8237161477275
"ESC","slr_X","existing","slr","yes",2020,1.07860208,0,0,0.6248,20.6915295992638,12.92806769362,12.92806769362,27.2416621079367
"ESC","stog_X2","existing","stog","no",2020,-0.61536,0,0,1.7136,0,0,0,27.22135707
"ESC","wnd_X","existing","wnd","yes",2020,0.037976,0,0,0.027,47.653811,1.286652897,1.286652897,27.22135707
"FL","bio_X","existing","bio","yes",2020,2.616789246035,7.35330307305636,19.24204440441,0.7129,224.947457957638,160.365042778,179.60708718241,27.22135707
"FL","col_X1","existing","col","no",2020,1.8699908929504,3.27198691844976,6.1185857393539,0.7348,82.2852164323155,60.4631770344654,66.5817627738193,27.22135707
"FL","col_X2","existing","col","no",2020,32.05708422665,8.0479729027886,257.994545198491,11.4532,104.517248254026,1197.05694770301,1455.0514929015,27.22135707
"FL","col_X3","existing","col","no",2020,0.809782968998729,7.24189056887675,5.86435964602891,0.7833,97.7295840086174,76.55158315395,82.4159427999789,27.22135707
"FL","hyd_X","existing","hyd","yes",2020,0.209882,0,0,0.0435,92.686960045977,4.031882762,4.031882762,27.22135707
"FL","msw_X","existing","msw","no",2020,2.991442555,2.87305472707962,8.5945781734299,0.6082,9.59440276906774,5.835315764147,14.4298939375769,27.22135707
"FL","ngcc_X1","existing","ngcc","no",2020,164.914781162534,2.22566250566572,367.04464506352,34.9136,12.6779778841672,442.633848656661,809.678493720181,27.22135707
"FL","ngcc_X2","existing","ngcc","no",2020,0.160262,2.21245287366937,0.35457212244,0.1812,12.6672284179912,2.29530178934,2.64987391178,27.22135707
"FL","ngcc_X3","existing","ngcc","no",2020,0.055897,2.21347005126112,0.123726335455343,0.0404,32.4709857594629,1.3118278246823,1.43555416013764,27.22135707
"FL","ngtb_X1","existing","ngtb","no",2020,4.338977305,4.78080697166495,20.74381294964,5.3102,11.0474590682347,58.66421714414,79.40803009378,27.22135707
"FL","ngtb_X2","existing","ngtb","no",2020,0.787502992,4.79956270622215,3.77966999144156,1.5083,11.5734286123974,17.456202376079,21.2358723675206,27.22135707
"FL","ngtb_X3","existing","ngtb","no",2020,0.815970864,4.69867487526426,3.83398179762447,3.8019,16.1234600911526,61.299782920553,65.1337647181775,27.22135707
"FL","nuc_X","existing","nuc","yes",2020,29.108066,2.55696031436785,74.42816959,3.7972,131.239238517855,498.3416365,572.76980609,27.22135707
"FL","oth_X","existing","oth","no",2020,0.363599166004,3.2269655901441,1.1733219973,0.1074,52.4323002402235,5.6312290458,6.8045510431,27.22135707
"FL","slr_X","existing","slr","yes",2020,3.84989304,0.0336539879559875,0.129564254,3.0112,36.4327190453905,109.70620358948,109.83576784348,27.22135707
"MID","bio_X","existing","bio","yes",2020,0.315403867,5.55749771627245,1.752856270556,0.2917,185.620755478231,54.145574373,55.898430643556,34.24542896
"MID","col_X1","existing","col","no",2020,23.4715758008782,7.30844141672284,171.540636698888,4.2066,125.946243267796,529.80546693031,701.346103629198,34.24542896
