region,unit,value
CA,wnd_Ndeep_3,53.33
CA,wnd_Ndeep_4,53.33
CA,wnd_Ndeep_5,53.33
CA,wnd_Ndeep_6,53.33
CA,wnd_Ndeep_7,53.33
PAC,nuc_X,131.24
PAC,hyd_X,92.68
PAC,geo_X,200.14
PAC,bio_X,188.21
PAC,lfg_X,0.00
PAC,msw_X,2.85
PAC,slr_X,20.69
PAC,wnd_X,47.65
PAC,oth_X,24.13
PAC,ps_X,0.00
PAC,col_N,48.90
PAC,col_Nccs,63.21
PAC,ngcc_N,14.62
PAC,ngcc_Nccs,30.25
PAC,ngtb_N,6.70
PAC,nuc_N,88.75
PAC,bio_N,100.50
PAC,fc_N,5.78
PAC,slrPV_N,16.70
PAC,slrCSP_N,64.00
PAC,col_X1,144.11
PAC,col_X2,55.59
PAC,col_X3,44.40
PAC,col_X1bio,0.00
PAC,col_X2bio,0.00
PAC,col_X3bio,0.00
PAC,col_X1ccs,0.00
PAC,col_X2ccs,0.00
PAC,col_X3ccs,0.00
PAC,ngcc_X1,13.77
PAC,ngcc_X2,0.00
PAC,ngcc_X3,0.00
PAC,ngtb_X1,14.83
PAC,ngtb_X2,11.72
PAC,ngtb_X3,16.45
PAC,stog_X1,0.00
PAC,stog_X2,0.00
PAC,stog_X3,0.00
PAC,lfg_N_hi,373.76
PAC,lfg_N_lo,373.76
PAC,lfg_N_vl,373.76
PAC,geo_N_1,151.50
PAC,geo_N_2,151.50
PAC,geo_N_3,156.30
PAC,geo_N_4,190.30
PAC,geo_N_5,0.00
PAC,geo_N_6,0.00
PAC,geo_N_7,0.00
PAC,geo_N_8,0.00
PAC,geo_N_9,0.00
PAC,geo_N_10,0.00
PAC,wnd_Nonsh_3,28.07
PAC,wnd_Nonsh_4,28.07
PAC,wnd_Nonsh_5,28.07
PAC,wnd_Nonsh_6,28.07
PAC,wnd_Nonsh_7,28.07
PAC,wnd_Nshal_3,53.33
PAC,wnd_Nshal_4,53.33
PAC,wnd_Nshal_5,53.33
PAC,wnd_Nshal_6,53.33
PAC,wnd_Nshal_7,53.33
PAC,wnd_Ndeep_3,53.33
PAC,wnd_Ndeep_4,53.33
PAC,wnd_Ndeep_5,53.33
PAC,wnd_Ndeep_6,53.33
PAC,wnd_Ndeep_7,53.33
