region,unit,load_segment,vintage,time,value
NEG,col_X1ccs,wntr_day,2020,2020,0.00
NEG,col_X1ccs,wntr_mrnevn,2020,2020,0.00
NEG,col_X1ccs,wntr_night,2020,2020,0.00
NEG,col_X1ccs,peak,2020,2020,0.00
NEG,col_X2ccs,sum_day,2020,2020,0.00
NEG,col_X2ccs,sum_mrnevn,2020,2020,0.00
NEG,col_X2ccs,sum_night,2020,2020,0.00
NEG,col_X2ccs,sprfl_day,2020,2020,0.00
NEG,col_X2ccs,sprfl_mrnevn,2020,2020,0.00
NEG,col_X2ccs,sprfl_night,2020,2020,0.00
NEG,col_X2ccs,wntr_day,2020,2020,0.00
NEG,col_X2ccs,wntr_mrnevn,2020,2020,0.00
NEG,col_X2ccs,wntr_night,2020,2020,0.00
NEG,col_X2ccs,peak,2020,2020,0.00
NEG,col_X3ccs,sum_day,2020,2020,0.00
NEG,col_X3ccs,sum_mrnevn,2020,2020,0.00
NEG,col_X3ccs,sum_night,2020,2020,0.00
NEG,col_X3ccs,sprfl_day,2020,2020,0.00
NEG,col_X3ccs,sprfl_mrnevn,2020,2020,0.00
NEG,col_X3ccs,sprfl_night,2020,2020,0.00
NEG,col_X3ccs,wntr_day,2020,2020,0.00
NEG,col_X3ccs,wntr_mrnevn,2020,2020,0.00
NEG,col_X3ccs,wntr_night,2020,2020,0.00
NEG,col_X3ccs,peak,2020,2020,0.00
NEG,ngcc_X1,sum_day,2020,2020,5.47
NEG,ngcc_X1,sum_mrnevn,2020,2020,2.56
NEG,ngcc_X1,sum_night,2020,2020,0.00
NEG,ngcc_X1,sprfl_day,2020,2020,1.90
NEG,ngcc_X1,sprfl_mrnevn,2020,2020,1.96
NEG,ngcc_X1,sprfl_night,2020,2020,0.00
NEG,ngcc_X1,wntr_day,2020,2020,3.32
NEG,ngcc_X1,wntr_mrnevn,2020,2020,4.09
NEG,ngcc_X1,wntr_night,2020,2020,0.19
NEG,ngcc_X1,peak,2020,2020,1.06
NEG,ngcc_X2,sum_day,2020,2020,0.00
NEG,ngcc_X2,sum_mrnevn,2020,2020,0.00
NEG,ngcc_X2,sum_night,2020,2020,0.00
NEG,ngcc_X2,sprfl_day,2020,2020,0.00
NEG,ngcc_X2,sprfl_mrnevn,2020,2020,0.00
NEG,ngcc_X2,sprfl_night,2020,2020,0.00
NEG,ngcc_X2,wntr_day,2020,2020,0.00
NEG,ngcc_X2,wntr_mrnevn,2020,2020,0.00
NEG,ngcc_X2,wntr_night,2020,2020,0.00
NEG,ngcc_X2,peak,2020,2020,0.00
NEG,ngcc_X3,sum_day,2020,2020,0.00
NEG,ngcc_X3,sum_mrnevn,2020,2020,0.00
NEG,ngcc_X3,sum_night,2020,2020,0.00
NEG,ngcc_X3,sprfl_day,2020,2020,0.00
NEG,ngcc_X3,sprfl_mrnevn,2020,2020,0.00
NEG,ngcc_X3,sprfl_night,2020,2020,0.00
NEG,ngcc_X3,wntr_day,2020,2020,0.00
NEG,ngcc_X3,wntr_mrnevn,2020,2020,0.00
NEG,ngcc_X3,wntr_night,2020,2020,0.00
NEG,ngcc_X3,peak,2020,2020,0.00
NEG,ngtb_X1,sum_day,2020,2020,0.00
NEG,ngtb_X1,sum_mrnevn,2020,2020,0.00
NEG,ngtb_X1,sum_night,2020,2020,0.00
NEG,ngtb_X1,sprfl_day,2020,2020,0.00
NEG,ngtb_X1,sprfl_mrnevn,2020,2020,0.00
NEG,ngtb_X1,sprfl_night,2020,2020,0.00
NEG,ngtb_X1,wntr_day,2020,2020,0.00
NEG,ngtb_X1,wntr_mrnevn,2020,2020,0.00
NEG,ngtb_X1,wntr_night,2020,2020,0.00
NEG,ngtb_X1,peak,2020,2020,0.00
NEG,ngtb_X2,sum_day,2020,2020,0.00
NEG,ngtb_X2,sum_mrnevn,2020,2020,0.00
NEG,ngtb_X2,sum_night,2020,2020,0.00
NEG,ngtb_X2,sprfl_day,2020,2020,0.00
NEG,ngtb_X2,sprfl_mrnevn,2020,2020,0.00
NEG,ngtb_X2,sprfl_night,2020,2020,0.00
NEG,ngtb_X2,wntr_day,2020,2020,0.00
NEG,ngtb_X2,wntr_mrnevn,2020,2020,0.00
NEG,ngtb_X2,wntr_night,2020,2020,0.00
NEG,ngtb_X2,peak,2020,2020,0.00
NEG,ngtb_X3,sum_day,2020,2020,0.00
NEG,ngtb_X3,sum_mrnevn,2020,2020,0.00
NEG,ngtb_X3,sum_night,2020,2020,0.00
NEG,ngtb_X3,sprfl_day,2020,2020,0.00
NEG,ngtb_X3,sprfl_mrnevn,2020,2020,0.00
NEG,ngtb_X3,sprfl_night,2020,2020,0.00
NEG,ngtb_X3,wntr_day,2020,2020,0.00
NEG,ngtb_X3,wntr_mrnevn,2020,2020,0.00
NEG,ngtb_X3,wntr_night,2020,2020,0.00
NEG,ngtb_X3,peak,2020,2020,0.00
NEG,stog_X1,sum_day,2020,2020,0.04
NEG,stog_X1,sum_mrnevn,2020,2020,0.03
NEG,stog_X1,sum_night,2020,2020,0.02
NEG,stog_X1,sprfl_day,2020,2020,0.02
NEG,stog_X1,sprfl_mrnevn,2020,2020,0.03
NEG,stog_X1,sprfl_night,2020,2020,0.01
NEG,stog_X1,wntr_day,2020,2020,0.02
NEG,stog_X1,wntr_mrnevn,2020,2020,0.03
NEG,stog_X1,wntr_night,2020,2020,0.02
NEG,stog_X1,peak,2020,2020,0.00
NEG,stog_X2,sum_day,2020,2020,2.50
NEG,stog_X2,sum_mrnevn,2020,2020,1.87
NEG,stog_X2,sum_night,2020,2020,1.19
NEG,stog_X2,sprfl_day,2020,2020,1.04
NEG,stog_X2,sprfl_mrnevn,2020,2020,1.44
NEG,stog_X2,sprfl_night,2020,2020,0.65
NEG,stog_X2,wntr_day,2020,2020,1.39
NEG,stog_X2,wntr_mrnevn,2020,2020,1.91
NEG,stog_X2,wntr_night,2020,2020,0.87
NEG,stog_X2,peak,2020,2020,0.14
NEG,stog_X3,sum_day,2020,2020,0.00
NEG,stog_X3,sum_mrnevn,2020,2020,0.00
NEG,stog_X3,sum_night,2020,2020,0.00
NEG,stog_X3,sprfl_day,2020,2020,0.00
NEG,stog_X3,sprfl_mrnevn,2020,2020,0.00
NEG,stog_X3,sprfl_night,2020,2020,0.00
NEG,stog_X3,wntr_day,2020,2020,0.00
NEG,stog_X3,wntr_mrnevn,2020,2020,0.00
NEG,stog_X3,wntr_night,2020,2020,0.00
NEG,stog_X3,peak,2020,2020,0.00
NEG,lfg_N_hi,sum_day,2020,2020,0.00
NEG,lfg_N_hi,sum_mrnevn,2020,2020,0.00
NEG,lfg_N_hi,sum_night,2020,2020,0.00
NEG,lfg_N_hi,sprfl_day,2020,2020,0.00
NEG,lfg_N_hi,sprfl_mrnevn,2020,2020,0.00
NEG,lfg_N_hi,sprfl_night,2020,2020,0.00
NEG,lfg_N_hi,wntr_day,2020,2020,0.00
NEG,lfg_N_hi,wntr_mrnevn,2020,2020,0.00
NEG,lfg_N_hi,wntr_night,2020,2020,0.00
NEG,lfg_N_hi,peak,2020,2020,0.00
NEG,lfg_N_lo,sum_day,2020,2020,0.00
NEG,lfg_N_lo,sum_mrnevn,2020,2020,0.00
NEG,lfg_N_lo,sum_night,2020,2020,0.00
NEG,lfg_N_lo,sprfl_day,2020,2020,0.00
NEG,lfg_N_lo,sprfl_mrnevn,2020,2020,0.00
NEG,lfg_N_lo,sprfl_night,2020,2020,0.00
NEG,lfg_N_lo,wntr_day,2020,2020,0.00
NEG,lfg_N_lo,wntr_mrnevn,2020,2020,0.00
NEG,lfg_N_lo,wntr_night,2020,2020,0.00
NEG,lfg_N_lo,peak,2020,2020,0.00
NEG,lfg_N_vl,sum_day,2020,2020,0.00
NEG,lfg_N_vl,sum_mrnevn,2020,2020,0.00
NEG,lfg_N_vl,sum_night,2020,2020,0.00
NEG,lfg_N_vl,sprfl_day,2020,2020,0.00
NEG,lfg_N_vl,sprfl_mrnevn,2020,2020,0.00
NEG,lfg_N_vl,sprfl_night,2020,2020,0.00
NEG,lfg_N_vl,wntr_day,2020,2020,0.00
NEG,lfg_N_vl,wntr_mrnevn,2020,2020,0.00
NEG,lfg_N_vl,wntr_night,2020,2020,0.00
NEG,lfg_N_vl,peak,2020,2020,0.00
NEG,geo_N_1,sum_day,2020,2020,0.00
NEG,geo_N_1,sum_mrnevn,2020,2020,0.00
NEG,geo_N_1,sum_night,2020,2020,0.00
NEG,geo_N_1,sprfl_day,2020,2020,0.00
NEG,geo_N_1,sprfl_mrnevn,2020,2020,0.00
NEG,geo_N_1,sprfl_night,2020,2020,0.00
NEG,geo_N_1,wntr_day,2020,2020,0.00
NEG,geo_N_1,wntr_mrnevn,2020,2020,0.00
NEG,geo_N_1,wntr_night,2020,2020,0.00
NEG,geo_N_1,peak,2020,2020,0.00
NEG,geo_N_2,sum_day,2020,2020,0.00
NEG,geo_N_2,sum_mrnevn,2020,2020,0.00
NEG,geo_N_2,sum_night,2020,2020,0.00
NEG,geo_N_2,sprfl_day,2020,2020,0.00
NEG,geo_N_2,sprfl_mrnevn,2020,2020,0.00
NEG,geo_N_2,sprfl_night,2020,2020,0.00
NEG,geo_N_2,wntr_day,2020,2020,0.00
NEG,geo_N_2,wntr_mrnevn,2020,2020,0.00
NEG,geo_N_2,wntr_night,2020,2020,0.00
NEG,geo_N_2,peak,2020,2020,0.00
NEG,geo_N_3,sum_day,2020,2020,0.00
NEG,geo_N_3,sum_mrnevn,2020,2020,0.00
NEG,geo_N_3,sum_night,2020,2020,0.00
NEG,geo_N_3,sprfl_day,2020,2020,0.00
NEG,geo_N_3,sprfl_mrnevn,2020,2020,0.00
NEG,geo_N_3,sprfl_night,2020,2020,0.00
NEG,geo_N_3,wntr_day,2020,2020,0.00
NEG,geo_N_3,wntr_mrnevn,2020,2020,0.00
NEG,geo_N_3,wntr_night,2020,2020,0.00
NEG,geo_N_3,peak,2020,2020,0.00
NEG,geo_N_4,sum_day,2020,2020,0.00
NEG,geo_N_4,sum_mrnevn,2020,2020,0.00
NEG,geo_N_4,sum_night,2020,2020,0.00
NEG,geo_N_4,sprfl_day,2020,2020,0.00
NEG,geo_N_4,sprfl_mrnevn,2020,2020,0.00
NEG,geo_N_4,sprfl_night,2020,2020,0.00
NEG,geo_N_4,wntr_day,2020,2020,0.00
NEG,geo_N_4,wntr_mrnevn,2020,2020,0.00
NEG,geo_N_4,wntr_night,2020,2020,0.00
NEG,geo_N_4,peak,2020,2020,0.00
NEG,geo_N_5,sum_day,2020,2020,0.00
NEG,geo_N_5,sum_mrnevn,2020,2020,0.00
NEG,geo_N_5,sum_night,2020,2020,0.00
NEG,geo_N_5,sprfl_day,2020,2020,0.00
NEG,geo_N_5,sprfl_mrnevn,2020,2020,0.00
NEG,geo_N_5,sprfl_night,2020,2020,0.00
NEG,geo_N_5,wntr_day,2020,2020,0.00
NEG,geo_N_5,wntr_mrnevn,2020,2020,0.00
NEG,geo_N_5,wntr_night,2020,2020,0.00
NEG,geo_N_5,peak,2020,2020,0.00
NEG,geo_N_6,sum_day,2020,2020,0.00
NEG,geo_N_6,sum_mrnevn,2020,2020,0.00
NEG,geo_N_6,sum_night,2020,2020,0.00
NEG,geo_N_6,sprfl_day,2020,2020,0.00
NEG,geo_N_6,sprfl_mrnevn,2020,2020,0.00
NEG,geo_N_6,sprfl_night,2020,2020,0.00
NEG,geo_N_6,wntr_day,2020,2020,0.00
NEG,geo_N_6,wntr_mrnevn,2020,2020,0.00
NEG,geo_N_6,wntr_night,2020,2020,0.00
NEG,geo_N_6,peak,2020,2020,0.00
NEG,geo_N_7,sum_day,2020,2020,0.00
NEG,geo_N_7,sum_mrnevn,2020,2020,0.00
NEG,geo_N_7,sum_night,2020,2020,0.00
NEG,geo_N_7,sprfl_day,2020,2020,0.00
NEG,geo_N_7,sprfl_mrnevn,2020,2020,0.00
NEG,geo_N_7,sprfl_night,2020,2020,0.00
NEG,geo_N_7,wntr_day,2020,2020,0.00
NEG,geo_N_7,wntr_mrnevn,2020,2020,0.00
NEG,geo_N_7,wntr_night,2020,2020,0.00
NEG,geo_N_7,peak,2020,2020,0.00
NEG,geo_N_8,sum_day,2020,2020,0.00
NEG,geo_N_8,sum_mrnevn,2020,2020,0.00
NEG,geo_N_8,sum_night,2020,2020,0.00
NEG,geo_N_8,sprfl_day,2020,2020,0.00
NEG,geo_N_8,sprfl_mrnevn,2020,2020,0.00
NEG,geo_N_8,sprfl_night,2020,2020,0.00
NEG,geo_N_8,wntr_day,2020,2020,0.00
NEG,geo_N_8,wntr_mrnevn,2020,2020,0.00
NEG,geo_N_8,wntr_night,2020,2020,0.00
NEG,geo_N_8,peak,2020,2020,0.00
NEG,geo_N_9,sum_day,2020,2020,0.00
NEG,geo_N_9,sum_mrnevn,2020,2020,0.00
NEG,geo_N_9,sum_night,2020,2020,0.00
NEG,geo_N_9,sprfl_day,2020,2020,0.00
NEG,geo_N_9,sprfl_mrnevn,2020,2020,0.00
NEG,geo_N_9,sprfl_night,2020,2020,0.00
NEG,geo_N_9,wntr_day,2020,2020,0.00
NEG,geo_N_9,wntr_mrnevn,2020,2020,0.00
NEG,geo_N_9,wntr_night,2020,2020,0.00
NEG,geo_N_9,peak,2020,2020,0.00
NEG,geo_N_10,sum_day,2020,2020,0.00
NEG,geo_N_10,sum_mrnevn,2020,2020,0.00
NEG,geo_N_10,sum_night,2020,2020,0.00
NEG,geo_N_10,sprfl_day,2020,2020,0.00
